month,day,hour,elec,gas 
1,27,19,8.546,1.509
1,27,20,6.409,1.011
1,27,21,7.63,1.296
1,27,22,7.325,0.997
1,27,23,5.493,1.011
1,27,24,6.104,0.896
1,28,1,4.578,0.837
1,28,2,0,0.339
1,28,3,0,0.112
1,28,4,0,0.048
1,28,5,0,0.117
1,28,6,0,0.046
1,28,7,4.883,0.17
1,28,8,6.715,0.174
1,28,9,6.104,0.28
1,28,10,6.714,0.744
1,28,11,6.409,0.258
1,28,12,0,0.051
1,28,13,0,0.117
1,28,14,0,0.051
1,28,15,0,0.112
1,28,16,0,0.051
1,28,17,4.884,0.165
1,28,18,6.409,0.163
1,28,19,5.493,0.266
1,28,20,5.189,0.216
1,28,21,5.799,0.843
1,28,22,4.883,0.691
1,28,23,5.799,0.978
1,28,24,5.493,0.766
1,29,1,4.273,0.245
1,29,2,0,0.077
1,29,3,0,0.062
1,29,4,0,0.104
1,29,5,0,0.037
1,29,6,0,0.12
1,29,7,4.578,0.099
1,29,8,7.02,0.21
1,29,9,5.798,0.19
1,29,10,7.02,0.581
1,29,11,7.325,0.368
1,29,12,5.799,0.131
1,29,13,5.493,0.965
1,29,14,6.715,0.603
1,29,15,5.798,0.394
1,29,16,0.916,0.158
1,29,17,4.578,0.234
1,29,18,5.799,0.486
1,29,19,5.493,0.914
1,29,20,5.494,0.79
1,29,21,8.546,1.317
1,29,22,5.493,0.784
1,29,23,5.189,0.675
1,29,24,5.493,0.597
1,30,1,4.273,0.157
1,30,2,0,0.118
1,30,3,0,0.045
1,30,4,0,0.117
1,30,5,0,0.043
1,30,6,0,0.109
1,30,7,4.883,0.112
1,30,8,8.241,0.776
1,30,9,6.714,1.144
1,30,10,6.104,0.454
1,30,11,7.02,0.389
1,30,12,0.305,0.085
1,30,13,0,0.182
1,30,14,0,0.304
1,30,15,0,0.354
1,30,16,0,0.147
1,30,17,4.578,0.605
1,30,18,6.714,1.19
1,30,19,6.715,1.256
1,30,20,5.798,0.898
1,30,21,7.63,1.275
1,30,22,7.02,0.899
1,30,23,5.494,0.709
1,30,24,4.883,0.563
1,31,1,4.578,0.152
1,31,2,0,0.109
1,31,3,0,0.051
1,31,4,0,0.101
1,31,5,0,0.056
1,31,6,0,0.085
1,31,7,4.883,0.134
1,31,8,7.325,0.234
1,31,9,6.409,0.966
1,31,10,6.104,0.296
1,31,11,5.188,0.194
1,31,12,0,0.04
1,31,13,0,0.379
1,31,14,0,0.051
1,31,15,0,0.106
1,31,16,0,0.059
1,31,17,4.884,0.205
1,31,18,7.63,0.627
1,31,19,7.019,0.947
1,31,20,6.104,0.869
1,31,21,8.241,1.413
1,31,22,6.409,0.867
1,31,23,5.493,0.709
1,31,24,5.494,0.87
2,1,1,4.578,0.466
2,1,2,0,0.107
2,1,3,0,0.051
2,1,4,0,0.088
2,1,5,0,0.08
2,1,6,0,0.053
2,1,7,4.578,0.171
2,1,8,8.851,0.389
2,1,9,7.019,0.787
2,1,10,7.02,0.456
2,1,11,5.494,0.168
2,1,12,0,0.101
2,1,13,0,0.045
2,1,14,0,0.123
2,1,15,0,0.045
2,1,16,0,0.086
2,1,17,4.883,0.306
2,1,18,6.714,1.659
2,1,19,7.02,1.253
2,1,20,5.799,0.84
2,1,21,7.935,1.214
2,1,22,5.493,0.757
2,1,23,5.494,0.712
2,1,24,5.494,0.915
2,2,1,4.578,0.362
2,2,2,0,0.147
2,2,3,0,0.045
2,2,4,0,0.099
2,2,5,0,0.075
2,2,6,0,0.045
2,2,7,4.883,0.171
2,2,8,8.545,0.752
2,2,9,7.02,0.938
2,2,10,7.02,0.496
2,2,11,5.493,0.12
2,2,12,0,0.096
2,2,13,0,0.083
2,2,14,0,0.043
2,2,15,1.526,0.154
2,2,16,8.546,1.046
2,2,17,7.325,0.634
2,2,18,6.104,1.184
2,2,19,6.409,0.774
2,2,20,5.799,1.013
2,2,21,5.493,1.117
2,2,22,7.935,0.99
2,2,23,6.104,0.738
2,2,24,5.494,0.723
2,3,1,5.799,0.392
2,3,2,5.493,0.125
2,3,3,5.494,0.166
2,3,4,5.799,0.146
